Smiles,pChEMBL_Value
C/C(Cl)=C/CC1(CN2CCCC2=O)C(=O)NC(=O)NC1=O,4.55
CC(C)(C)OC(=O)NCCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,7.18
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)c1nnc(S(=O)(=O)Cc2cccc(F)c2)o1,4.71
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)c1nnc(S(=O)(=O)Cc2ccccc2)o1,4.775
CC(C)(C)c1cc(CN2CCN(CCC#N)CC2)cc(C(C)(C)C)c1O,4.45
CC(C)(C)c1ccc(C[C@H](C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,4.96
CC(C)CC(OC(=O)c1ccco1)C(=O)NC1CCCCC1,4.5
CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2ccc(F)cc2)o1.Cl,5.85
CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2cccc(F)c2)o1.Cl,5.26
CC(C)[C@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2c(F)cccc2Cl)o1,5.725
CC(O)C(C(=O)OCc1ccc([N+](=O)[O-])cc1)N1C(=O)c2ccccc2C1=O,4.1
CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].[K+],4.45
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,4.45
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],4.35
CC1=C(C(=O)O)N2C(=O)C(NC(=O)c3ccccc3Cl)C2SC1,4.15
CC1Oc2ccccc2N(CC(=O)NCCc2ccccc2)C1=O,4.4
CCC(C)[C@@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2cccc(C)c2)o1,4.875
CCC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].[K+],4.5
CCCCSc1nnc([C@@H]2CCCN2C(=O)OC(C)(C)C)o1,4.5
CCCNC(=O)Cn1sc2nc(C)cc(C)c2c1=O,4.1
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,4.35
CCO/C(O)=C(/C)C1=NC(C)(C)Cc2ccccc21.I,4.6
CCOC(=O)C1CCCN(C(=O)Cn2sc3nc(C)cc(C)c3c2=O)C1,4.35
CCOC(=O)c1cc2c(ccn2C)n1CC(=O)N1CCN(c2ccccc2)CC1,4.5
CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12.O.[Na+],5.3
CC[C@@H](C)[C@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2cc(C)ccc2C)o1,4.975
CCc1ccc(NC(=O)c2cc3sc(Cl)cc3n2C)cc1,4.25
CCc1ccc(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)cc1,4.45
CCc1ccccc1-n1c(SCC(=O)NC)nnc1-c1cccnc1,4.45
CCc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2)c2oc3ccccc3c2n1.Cl,4.45
CN(C)P(=O)(/C(=N/c1ccccc1)N1CCCC1)N1CCCC1,4.45
CN(C)c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2Cl)cc1,4.0
CN1CCCN(C(=O)CC2(CC(=O)O)CCCC2)CC1.Cl,4.55
COC(=O)/C=c1/sc2nc3ccccc3n2c1=O,4.35
COC(=O)CS(=O)(=O)c1nnc([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)o1,4.74
COC(=O)c1ccc(/N=C2\C(Cl)=C(O)OC2OC(=O)c2ccccc2)cc1,5.0
COC(=O)c1ccccc1NC(=S)NC(=O)c1ccccc1C,4.4
COc1ccc(-n2ccc(=O)c(C(=O)Nc3ccc(S(=O)(=O)Nc4nccs4)cc3)n2)cc1,4.3
COc1ccc(CCNC(=O)CSc2n[nH]c(N)n2)cc1,4.0
COc1ccc(Cl)cc1NC(=O)COc1ccc(S(=O)(=O)N2CCOCC2)cc1C,4.55
COc1ccc(OC)c(CCNC(=O)Cn2sc3nc(C)cc(C)c3c2=O)c1,4.3
COc1ccc(OC)c(N2C(=O)/C(=C/c3ccco3)C(=O)NC2=S)c1,4.3
COc1ccc(OC)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)c1,4.4
COc1ccc2c3c1OC1C(O)C=CC4C(C2)[N+](C)(C)CCC341.[I-],4.4
CSc1ccccc1NC(=O)c1noc2c1CCC2,4.6
C[C@@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2ccccc2)o1,5.05
C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,4.3
Cc1cc(C)c(C)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)c1C,4.25
Cc1cc(C)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)cc1C,4.3
Cc1cc(C)c2c(=O)n(CC(=O)N3CCC(N4CCCCC4)CC3)sc2n1,4.25
Cc1cc(C)c2c(=O)n(CC(=O)NCCCN3CCOCC3)sc2n1,4.35
Cc1cc(C)c2c(=O)n(CC(=O)Nc3cccc(F)c3)sc2n1,4.1
Cc1cc(C)n(-c2nc3ccccc3c(=O)n2OCc2ccc(F)cc2)n1,4.5
Cc1cc(C)n(C(=O)CSc2nc3ccccc3o2)n1,4.55
Cc1cc(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)ccc1F,4.35
Cc1ccc(/N=C2\C(Cl)=C(O)OC2OC(=O)c2ccc(C)cc2)cc1,5.05
Cc1ccc(/N=C2\C(Cl)=C(O)OC2OC(=O)c2ccccc2C)cc1,5.2
Cc1ccc(C(=O)O)cc1-c1ccc(/C=C2\SC(=O)N(CC(=O)Nc3ccccc3)C2=O)o1,4.25
Cc1ccc(C(=O)OC2OC(=O)C(Cl)=C2N2CCOCC2)cc1,4.95
Cc1ccc(C)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)c1,4.3
Cc1ccc(C[C@H](C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)c(C)c1,4.77
Cc1ccc(N(C(=O)CNC(=O)c2ccco2)C(C(=O)NC2CCCC2)c2ccncc2)cc1,4.85
Cc1ccc(NC(=O)CN2C(=O)S/C(=C/c3ccc(O)c([N+](=O)[O-])c3)C2=O)cc1C,4.3
Cc1ccc(S(=O)(=O)N2CCC(C(=O)N[C@@H](C)C(=O)Nc3ccc4c(c3)OCO4)CC2)cc1,4.45
Cc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccccc3N3CCCCC3)CC2)cc1,4.5
Cc1ccc(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)c(C)c1,4.1
Cc1ccc(S(=O)(=O)c2nc(C)oc2NCc2ccccc2)cc1,4.3
Cc1cccc(CS(=O)(=O)c2nnc([C@H](Cc3ccccc3)NC(=O)OC(C)(C)C)o2)c1,4.4
Cc1cccc(N2CCN(C(=O)Cn3sc4nc(C)cc(C)c4c3=O)CC2C)c1,4.3
Cc1ccccc1/N=C1\C(Cl)=C(O)OC1OC(=O)c1ccccc1C,4.7
Cc1ccccc1C(=O)OC1OC(=O)C(Cl)=C1N1CCOCC1,5.4
Cc1ccccc1C(=O)OC1OC(O)=C(Cl)/C1=N/c1ccc(C(=O)O)cc1,5.9
Cc1ccccc1C(=O)OC1OC(O)=C(Cl)/C1=N\c1ccccc1,4.85
Cc1ccccc1CS(=O)(=O)c1nnc([C@H](CC(C)C)NC(=O)OC(C)(C)C)o1,4.904999999999999
Cc1ccccc1CS(=O)(=O)c1nnc([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)o1,4.55
Cc1ccccc1N1C(=O)/C(=C/c2ccco2)C(=O)NC1=S,4.35
Cc1ccccc1NC(=O)CN1C(=O)S/C(=C\c2ccc(-c3cc(C(=O)O)ccc3C)o2)C1=O,4.25
Cc1nc(N2CCN(C(=O)c3cccs3)CC2)c2c3c(sc2n1)CCCC3,4.45
Cc1nc(S(=O)(=O)c2ccc(Cl)cc2)c(NCc2ccccc2)o1,4.25
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])C(C)(C)S[C@H]12.[Na+],5.6
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12.[Na+],6.45
Cc1sc2nc(C(C)C)nc(SCC(=O)NC3CC3)c2c1C,4.85
Cn1cc(C[C@H](C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)c2ccccc21,4.77
Cn1cnnc1SCC(=O)Nc1nc(-c2ccccc2)cs1,4.1
N=C1/C(=C/c2ccc(-c3cccc(C(=O)O)c3)o2)C(=O)N=C2SC=C(c3ccccc3)N12,4.3
N=C1/C(=C\c2ccc(-c3cccc(C(=O)O)c3)o2)C(=O)N=C2SC=C(c3ccccc3)N12,4.25
NC(=O)CC1(CC(=O)O)CCCCC1,4.15
NC(=O)c1ccsc1NC(=O)COC(=O)COc1ccccc1[N+](=O)[O-],4.25
Nc1nc2c(s1)CCc1c-2cnn1-c1ccccc1,4.05
O=C(CCNS(=O)(=O)c1ccc(Cl)cc1)N1CCC2(O)CCCCC2C1,4.4
O=C(N1CCOCC1)n1nnc2ccccc21,4.35
O=C(NC(=S)Nc1ccc2c(c1)OCCO2)c1ccc(F)cc1Cl,4.1
O=C(O)C1Nc2c(O)cc(Cl)c([N+](=O)[O-])c2C2C=CCC12,4.4
O=C(O)CC1(CC(=O)N2CCC(C(=O)O)CC2)CCCC1,4.35
O=C(O)CC1(CC(=O)N2CCOCC2)CCCC1,4.45
O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1c[nH]c3ccccc13)C(=O)O)C2=O,4.77
O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1ccc(-c3ccccc3)cc1)C(=O)O)C2=O,4.82
O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1ccc3ccccc3c1)C(=O)O)C2=O,4.85
O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1cccc3ccccc13)C(=O)O)C2=O,5.3
O=C(Oc1ccccc1)c1cccnc1Oc1ccccc1,4.4
O=C1NC(=O)C(=Cc2cc3c(cc2[N+](=O)[O-])OCO3)C(=O)N1,4.3
O=C1NC(=S)N(Cc2ccco2)C(=O)/C1=C\c1cccs1,4.35
O=C1NC(=S)N(c2ccc(F)cc2)C(=O)/C1=C/c1ccco1,4.3
O=C1c2ccccc2C(=O)N1OS(=O)(=O)c1ccc(F)cc1,4.35
O=C1c2ccccc2C(=O)N1OS(=O)(=O)c1ccccc1,4.35
O=P(O)(CN1CCCCCC1)C1Cc2ccccc2C1,4.3
O=[N+]([O-])c1c(O)nc(O)nc1NC1CCCCC1,4.05
